,player_id,player,position,team,salary,roster_id
341,5709,Luis Perez,QB,,0,999
342,4229,Mason Schreck,TE,CIN,0,999
343,7234,Maurice Ffrench,WR,KC,0,999
344,71,Jason Avant,WR,,0,999
345,6195,Damon Sheehy-Guiseppi,WR,,0,999
346,7337,Easop Winston,WR,NO,0,999
347,5837,Redford Jones,K,,0,999
348,1939,Derel Walker,WR,,0,999
349,6663,Micah Wright,WR,NO,0,999
350,7523,Trevor Lawrence,QB,JAX,0,8
351,5548,Elijah Marks,WR,KC,0,999
352,1026,Bryce Brown,RB,,0,999
353,2282,Fitzgerald Toussaint,RB,,0,999
354,7583,Sam Ehlinger,QB,IND,0,999
355,1048,Lamar Miller,RB,WAS,0,999
356,5277,Deon Yelder,TE,TEN,0,999
357,4779,Bra'lon Cherry,WR,,0,999
358,7308,Nick Bowers,TE,LV,0,999
359,2341,T.J. Yeldon,RB,,0,999
360,6869,Adam Trautman,TE,NO,0,999
361,3908,Eric Wallace,TE,,0,999
362,4909,Duce Staley,RB,,0,999
363,6238,Tyree Mayfield,TE,,0,999
364,370,Nate Washington,WR,,0,999
365,2800,Mario Hull,WR,,0,999
366,1575,Andre Ellington,RB,,0,999
367,7623,Darece Roberson,WR,SEA,0,999
368,2880,Zach Laskey,RB,,0,999
369,7045,Joshua Kelley,RB,LAC,0,8
370,1724,Rashad Ross,WR,,0,999
371,5273,Kamryn Pettway,RB,MIN,0,999
372,4823,Keevan Lucas,WR,,0,999
373,5980,Myles Gaskin,RB,MIA,0,7
374,5107,Jaylen Samuels,RB,PIT,0,999
375,2399,Ty Montgomery,RB,NO,0,999
376,4342,Quincy Adeboyejo,WR,NE,0,999
377,5233,Marcus Baugh,TE,PIT,0,999
378,2950,Jack Tabb,TE,,0,999
379,6363,Michael Walker,WR,PHI,0,999
380,586,Mike Kafka,QB,,0,999
381,3639,Duplicate Player,WR,,0,999
382,5798,Darren Carrington,WR,,0,999
383,5762,Josh Smith,WR,NO,0,999
384,758,Shayne Graham,K,,0,999
385,2733,Kasey Closs,WR,,0,999
386,6318,Jordan Ellis,RB,,0,999
387,7121,Justin Rohrwasser,K,NE,0,999
388,5268,Ben Johnson,TE,,0,999
389,4787,Jordan Westerkamp,WR,,0,999
390,4285,Robert Davis,WR,LV,0,999
391,6588,Tom Kennedy,WR,DET,0,999
392,4526,Krishawn Hogan,WR,CAR,0,999
393,6554,Shawn Poindexter,WR,SF,0,999
394,1986,Storm Johnson,RB,,0,999
395,1338,Matt Barkley,QB,TEN,0,999
396,2074,Devin Street,WR,,0,999
397,6460,Cole Herdman,TE,,0,999
398,4234,Noah Brown,WR,DAL,0,999
399,176,Gary Barnidge,TE,,0,999
400,6662,Parker Hesse,TE,ATL,0,999
401,2247,Walter Powell,WR,,0,999
402,8019,Devontres Dukes,WR,DEN,0,999
